processid,bin,species_name,country,lat,lon
ABCMB11282-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11283-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11284-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11286-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11287-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11289-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11290-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11390-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11391-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11392-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11393-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB11394-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB12460-24,BOLD:AAA8078,NA,Canada,58.737305,-93.82078
ABCMB1499-23,BOLD:AAB1090,NA,Canada,58.739334,-93.82342
ABCMB1500-23,BOLD:AAA8078,NA,Canada,58.739334,-93.82342
ABCMB1501-23,BOLD:AAA8078,NA,Canada,58.739334,-93.82342
ABCMB1502-23,BOLD:AAA8078,NA,Canada,58.739334,-93.82342
ABCMB1503-23,BOLD:AAA8078,NA,Canada,58.739334,-93.82342
ABG164-21,BOLD:ABZ0141,Bombus insularis,Canada,46.361,-67.692
ABG166-21,BOLD:AAB6714,Bombus flavidus,Canada,46.269,-64.851
ABG167-21,BOLD:AAB6714,Bombus flavidus,Canada,46.246,-67.721
ABG169-21,BOLD:AAA8658,Bombus terricola,Canada,46.046,-67.721
ABG170-21,BOLD:AAA8658,Bombus terricola,Canada,46.053,-67.718
ABG171-21,BOLD:AAA8658,Bombus terricola,Canada,46.046,-67.721
ABG172-21,BOLD:AAA8658,Bombus terricola,Canada,46.361,-67.771
ABG173-21,BOLD:AAA8658,Bombus terricola,Canada,46.88,-65.159
ABG174-21,BOLD:AAA8658,Bombus terricola,Canada,46.361,-67.771
ABG175-21,BOLD:AAB0152,Bombus rufocinctus,Canada,46.361,-67.771
ABG176-21,BOLD:AAB0152,Bombus rufocinctus,Canada,45.919,-66.614
ABG178-21,BOLD:AAB0152,Bombus rufocinctus,Canada,45.919,-66.614
ABG179-21,BOLD:AAB0152,Bombus rufocinctus,Canada,46.361,-67.771
ABG181-21,BOLD:AAB0152,Bombus rufocinctus,Canada,46.361,-67.771
ABG184-21,BOLD:AAB0152,Bombus rufocinctus,Canada,46.094,-64.957
ABG187-21,BOLD:AAB0152,Bombus rufocinctus,Canada,46.435,-67.669
ABG209-21,BOLD:AAB1091,Bombus sandersoni,Canada,46.435,-67.669
ABG210-21,BOLD:AAB2150,Bombus sandersoni,Canada,46.046,-67.721
ABG212-21,BOLD:AAB4830,Bombus ternarius,Canada,46.849,-67.424
ABG220-21,BOLD:ACE5605,Bombus borealis,Canada,47.046,-65.507
ABG221-21,BOLD:ACE5605,Bombus borealis,Canada,45.949,-65.929
ABG223-21,BOLD:ACE5605,Bombus borealis,Canada,46.269,-64.851
ABG224-21,BOLD:ACE5605,Bombus borealis,Canada,46.269,-64.851
ABG225-21,BOLD:ACE5605,Bombus borealis,Canada,46.046,-67.721
ABG226-21,BOLD:ACE5605,Bombus borealis,Canada,46.849,-67.424
ABG307-21,BOLD:AAB1091,NA,Canada,46.024,-65.309
ABG318-21,BOLD:AAB1091,NA,Canada,46.269,-64.851
ABHYT083-10,BOLD:ACE4135,Bombus sp.,France,46.64237,2.1940236
ABHYT084-10,BOLD:AAB1062,Bombus terrestris,France,46.64237,2.1940236
